iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Luhansk People's Republic,Firearms,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Luhansk People's Republic,Firearms,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Luhansk People's Republic,Firearms,0,2014-09-27,9
2014,Ukraine,ONWAAR,ONWAAR,Unknown,Government,Ukraine,Donetsk People's Republic,Unknown,0,2014-09-28,9
2014,Ukraine,ONWAAR,ONWAAR,Unknown,Government,Ukraine,Donetsk People's Republic,Unknown,0,2014-09-29,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,,2014-09-29,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,,2014-09-29,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-28,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,3,2014-09-29,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,18,2014-09-29,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,1,2014-09-30,9
